route_id,service_id,trip_id,trip_headsign,direction_id,block_id
57,25,1258369,Stanwood,0,170
42,23,2910019,NB Freeland via Langley,0,141
42,28,5060019,,0,141
50,28,5206719,City Shuttle,0,132
35,28,4956719,West Beach/Keystone,0,135
42,23,2958369,SB Clinton via Langley,0,120
46,23,3007549,Scatchet/Langley,0,142
35,23,2857549,West Beach/Keystone,0,135
46,28,5105899,Scatchet,0,122
9,28,4655899,West Oak Harbor,0,131
50,23,3157549,City Shuttle,0,108
35,28,4855899,West Beach/Keystone,0,135
46,23,3056649,Scatchet,0,141
54,23,3106729,City Shuttle,0,131
9,23,2456729,West Oak Harbor,0,108
35,23,2756729,West Beach/Keystone,0,135
51,24,3304289,10/2 City Shuttle,0,86
1,28,4454269,Northbound Oak Harbor,0,119
35,28,4908369,West Beach/Keystone,0,135
42,23,2910849,NB Freeland via Langley,0,123
1,24,3555099,Northbound Oak Harbor,0,82
35,23,2809199,West Beach/Keystone,0,135
57,25,1259199,Stanwood,0,174
24,24,3605099,Southbound Clinton Ferry,0,149
1,23,4305099,Northbound Oak Harbor,0,118
42,23,2959199,SB Clinton via Langley,0,116
56,25,4151219,East Camano,0,165
19,28,4605089,,0,127
50,28,5207549,City Shuttle,0,108
35,28,4957549,West Beach/Keystone,0,132
42,28,5060849,,0,123
46,23,3008379,Scatchet/Langley,0,142
35,23,2858379,West Beach/Keystone,0,132
19,23,2355819,Southbound Clinton Ferry,0,117
50,23,3158379,City Shuttle,0,106
42,23,2911679,NB Freeland via Langley,0,141
66,25,4101229,West,0,163
33,23,4354279,,0,137
35,28,4909199,West Beach/Keystone,0,132
9,28,4656729,West Oak Harbor,0,107
35,28,4856729,West Beach/Keystone,0,132
35,23,2757559,West Beach/Keystone,0,132
66,28,5301229,West,0,163
46,23,3057479,Scatchet,0,142
54,23,3107559,City Shuttle,0,110
35,23,2810029,West Beach/Keystone,0,132
9,23,2457559,West Oak Harbor,0,131
33,23,4355109,,0,137
42,23,2960029,SB Clinton via Langley,0,117
56,28,5251219,East Camano,0,165
42,23,2912509,NB Freeland via Langley,0,123
1,28,4455099,Northbound Oak Harbor,0,120
50,28,5208379,City Shuttle,0,106
1,24,3555929,Northbound Oak Harbor,0,83
24,24,3605929,Southbound Clinton Ferry,0,86
50,23,3159209,City Shuttle,0,105
51,24,3305119,10/2 City Shuttle,0,88
1,23,4305929,Northbound Oak Harbor,0,119
35,23,2810859,West Beach/Keystone,0,131
35,28,4857559,West Beach/Keystone,0,135
9,28,4657559,West Oak Harbor,0,106
19,28,4605919,,0,117
42,23,2913339,NB Freeland via Langley,0,141
9,23,2458389,West Oak Harbor,0,107
35,23,2758389,West Beach/Keystone,0,135
19,23,2356649,Southbound Clinton Ferry,0,118
46,23,3058309,Scatchet,0,122
42,23,2960859,SB Clinton via Langley,0,121
54,23,3108389,City Shuttle,0,108
21,23,3257569,Southbound Clinton Ferry,0,120
50,28,5209209,City Shuttle,0,105
35,23,2811689,West Beach/Keystone,0,125
50,23,3160039,City Shuttle,0,135
42,23,2914169,NB Freeland via Langley,0,142
1,28,4455929,Northbound Oak Harbor,0,116
35,28,4858389,West Beach/Keystone,0,132
9,28,4658389,West Oak Harbor,0,105
9,23,2459219,West Oak Harbor,0,106
35,23,2759219,West Beach/Keystone,0,132
1,24,3556759,Northbound Oak Harbor,0,84
24,24,3606759,Southbound Clinton Ferry,0,87
1,23,4306759,Northbound Oak Harbor,0,120
19,28,4606749,,0,118
50,28,5210039,City Shuttle,0,135
42,23,2914999,NB Freeland via Langley,0,123
19,23,2357479,Southbound Clinton Ferry,0,119
35,23,2812519,West Beach/Keystone,0,122
50,23,3160869,City Shuttle,0,108
51,24,3305949,10/2 City Shuttle,0,146
42,23,2963349,SB Clinton via Langley,0,123
35,23,2813349,West Beach/Keystone,0,123
9,23,2460049,West Oak Harbor,0,105
35,23,2760049,West Beach/Keystone,0,131
50,28,5210869,City Shuttle,0,108
50,23,3161699,City Shuttle,0,131
1,28,4456759,Northbound Oak Harbor,0,117
24,24,3607589,Southbound Clinton Ferry,0,88
1,24,3557589,Northbound Oak Harbor,0,85
19,28,4607579,,0,119
63,26,4201379,,0,162
1,23,4307589,Northbound Oak Harbor,0,116
19,23,2358309,Southbound Clinton Ferry,0,116
50,28,5211699,City Shuttle,0,131
51,24,3306779,10/2 City Shuttle,0,84
9,23,2460879,West Oak Harbor,0,135
50,23,3162529,City Shuttle,0,106
56,25,4152049,East Camano,0,163
1,28,4457589,Northbound Oak Harbor,0,121
66,25,4102059,West,0,171
24,24,3608419,Southbound Clinton Ferry,0,146
1,24,3558419,Northbound Oak Harbor,0,86
19,23,2359139,Southbound Clinton Ferry,0,117
1,23,4308419,Northbound Oak Harbor,0,117
50,28,5212529,City Shuttle,0,106
50,23,3163359,City Shuttle,0,110
56,28,5252049,East Camano,0,163
66,28,5302059,West,0,165
50,28,5213359,City Shuttle,0,110
50,23,3164189,City Shuttle,0,105
19,23,2359969,Southbound Clinton Ferry,0,121
1,24,3559249,Northbound Oak Harbor,0,87
1,23,4309249,Northbound Oak Harbor,0,121
50,28,5214189,City Shuttle,0,105
24,24,3609249,Southbound Clinton Ferry,0,85
50,23,3165019,City Shuttle,0,106
19,23,2360799,Southbound Clinton Ferry,0,122
24,24,3610079,Southbound Clinton Ferry,0,85
50,28,5215019,City Shuttle,0,106
1,24,3560079,Northbound Oak Harbor,0,88
50,23,3165849,City Shuttle,0,106
1,23,4310079,Northbound Oak Harbor,0,122
50,28,5215849,City Shuttle,0,105
50,23,3166679,City Shuttle,0,105
56,25,4152879,East Camano,0,171
50,28,5216679,City Shuttle,0,105
50,23,3167509,City Shuttle,0,105
66,25,4102889,West,0,165
1,23,4310909,Northbound Oak Harbor,0,123
56,28,5252879,East Camano,0,163
66,28,5302889,West,0,165
63,26,4202209,,0,162
56,28,5253709,East Camano,0,166
56,25,4153709,East Camano,0,165
66,25,4103719,West,0,163
66,28,5303719,West,0,163
63,26,4203039,,0,161
56,25,4154539,East Camano,0,163
66,28,5304549,West,0,166
66,25,4104549,West,0,165
56,28,5254539,East Camano,0,163
56,25,4155369,East Camano,0,163
63,26,4203869,,0,162
56,28,5255369,East Camano,0,164
66,28,5305379,West,0,164
66,25,4105379,West,0,165
56,25,4156199,East Camano,0,166
56,28,5256199,East Camano,0,173
66,25,4106209,West,0,163
66,28,5306209,West,0,172
56,25,4157029,East Camano,0,164
56,28,5257029,East Camano,0,175
66,25,4107039,West,0,166
66,28,5307039,West,0,173
66,28,5307869,West,0,174
56,25,4157859,East Camano,0,172
56,28,5257859,East Camano,0,173
66,25,4107869,West,0,164
56,25,4158689,East Camano,0,173
66,25,4108699,West,0,172
56,25,4159519,East Camano,0,175
66,25,4109529,West,0,173
56,25,4160349,East Camano,0,173
66,25,4110359,West,0,174
56,25,4161179,East Camano,0,170
66,25,4111189,West,0,164
56,25,4162009,East Camano,0,173
66,25,4112019,West,0,173
56,25,4162839,East Camano,0,164
66,25,4112849,West,0,164
